hour,platform,theme,avg_query_share_in_platform_day_hour
1,desktop,Справка и Образование,0.002357142857142857
2,desktop,Справка и Образование,0.0018666666666666666
3,desktop,Справка и Образование,0.001880952380952381
4,desktop,Справка и Образование,0.002614285714285714
5,desktop,Справка и Образование,0.004004761904761904
6,desktop,Справка и Образование,0.0057809523809523805
7,desktop,Справка и Образование,0.008985714285714286
8,desktop,Справка и Образование,0.013638095238095237
9,desktop,Справка и Образование,0.018828571428571427
10,desktop,Справка и Образование,0.02149047619047619
11,desktop,Справка и Образование,0.02297142857142857
12,desktop,Справка и Образование,0.023385714285714284
13,desktop,Справка и Образование,0.023747619047619045
14,desktop,Справка и Образование,0.0259952380952381
15,desktop,Справка и Образование,0.02612380952380952
16,desktop,Справка и Образование,0.02818095238095238
17,desktop,Справка и Образование,0.02684285714285714
18,desktop,Справка и Образование,0.026052380952380955
19,desktop,Справка и Образование,0.025766666666666667
20,desktop,Справка и Образование,0.022623809523809525
21,desktop,Справка и Образование,0.019714285714285712
22,desktop,Справка и Образование,0.014333333333333333
23,desktop,Справка и Образование,0.007933333333333334
0,touch,Справка и Образование,0.0044809523809523815
1,touch,Справка и Образование,0.003
2,touch,Справка и Образование,0.0022761904761904764
3,touch,Справка и Образование,0.002380952380952381
4,touch,Справка и Образование,0.0028952380952380953
5,touch,Справка и Образование,0.0038
6,touch,Справка и Образование,0.005633333333333333
7,touch,Справка и Образование,0.008138095238095238
8,touch,Справка и Образование,0.011990476190476192
9,touch,Справка и Образование,0.014076190476190478
10,touch,Справка и Образование,0.014966666666666668
11,touch,Справка и Образование,0.013023809523809524
12,touch,Справка и Образование,0.014190476190476189
13,touch,Справка и Образование,0.014019047619047618
14,touch,Справка и Образование,0.014180952380952381
15,touch,Справка и Образование,0.01360952380952381
16,touch,Справка и Образование,0.014971428571428571
17,touch,Справка и Образование,0.014361904761904761
18,touch,Справка и Образование,0.014685714285714286
19,touch,Справка и Образование,0.015066666666666667
20,touch,Справка и Образование,0.01589047619047619
21,touch,Справка и Образование,0.014542857142857144
22,touch,Справка и Образование,0.01229047619047619
23,touch,Справка и Образование,0.007571428571428572
0,desktop,Чувствительные запросы,0.0004714285714285714
1,desktop,Чувствительные запросы,0.0003
2,desktop,Чувствительные запросы,0.0003
3,desktop,Чувствительные запросы,0.00025
4,desktop,Чувствительные запросы,0.00035999999999999997
5,desktop,Чувствительные запросы,0.0003125
6,desktop,Чувствительные запросы,0.0003
7,desktop,Чувствительные запросы,0.0003
8,desktop,Чувствительные запросы,0.00032857142857142856
9,desktop,Чувствительные запросы,0.00039999999999999996
10,desktop,Чувствительные запросы,0.00049375
11,desktop,Чувствительные запросы,0.0005235294117647059
12,desktop,Чувствительные запросы,0.00055
13,desktop,Чувствительные запросы,0.0004733333333333333
14,desktop,Чувствительные запросы,0.0006
15,desktop,Чувствительные запросы,0.0006399999999999999
16,desktop,Чувствительные запросы,0.0006100000000000001
17,desktop,Чувствительные запросы,0.0006533333333333333
18,desktop,Чувствительные запросы,0.0005533333333333333
19,desktop,Чувствительные запросы,0.0005384615384615384
20,desktop,Чувствительные запросы,0.0006
21,desktop,Чувствительные запросы,0.0004214285714285714
22,desktop,Чувствительные запросы,0.0006000000000000001
23,desktop,Чувствительные запросы,0.0003888888888888889
0,touch,Чувствительные запросы,0.00057
1,touch,Чувствительные запросы,0.0004
2,touch,Чувствительные запросы,0.00037
3,touch,Чувствительные запросы,0.00033684210526315785
4,touch,Чувствительные запросы,0.0005650000000000001
5,touch,Чувствительные запросы,0.0005
6,touch,Чувствительные запросы,0.0006714285714285714
7,touch,Чувствительные запросы,0.0008238095238095238
8,touch,Чувствительные запросы,0.0012047619047619047
9,touch,Чувствительные запросы,0.001242857142857143
10,touch,Чувствительные запросы,0.0013761904761904762
11,touch,Чувствительные запросы,0.0011142857142857144
12,touch,Чувствительные запросы,0.0009904761904761905
13,touch,Чувствительные запросы,0.0009571428571428571
14,touch,Чувствительные запросы,0.0010380952380952381
15,touch,Чувствительные запросы,0.001223809523809524
16,touch,Чувствительные запросы,0.0010999999999999998
17,touch,Чувствительные запросы,0.0013666666666666666
18,touch,Чувствительные запросы,0.0013333333333333333
19,touch,Чувствительные запросы,0.001238095238095238
20,touch,Чувствительные запросы,0.0012952380952380952
21,touch,Чувствительные запросы,0.0012809523809523809
22,touch,Чувствительные запросы,0.0011380952380952382
23,touch,Чувствительные запросы,0.00075
